    k     n             Re[I(theta1)]             Im[I(theta1)]
    1    93    1.2364242770979152e+24    2.4848634101016899e+18
    1    94    2.3054223992602404e+24    4.5843674906079590e+18
    1    95    4.2989008547157624e+24    8.4591866380881869e+18
    1    96    8.0165552755103437e+24    1.5611641544939430e+19
    1    97    1.4949997361792594e+25    2.8816276534515458e+19
    1    98    2.7881551572711523e+25    5.3197971831782892e+19
    1    99    5.2001372534192442e+25    9.8224277038414496e+19
    2     0   -5.8445454618512200e-10    2.9608813198941807e-05
    2     1    5.0991667519802990e-02    3.1593365029982085e-05
    2     2    2.2468399547526280e-01    3.7999038098465226e-05
    2     3    5.9113303960524222e-01    5.0304239653314403e-05
    2     4    1.2964504637434655e+00    7.1417106774506457e-05
    2     5    2.6184948512973523e+00    1.0648005065945117e-04
    2     6    5.0727406071078329e+00    1.6431755116755927e-04
    2     7    9.6086840243162150e+00    2.5996786735421563e-04
    2     8    1.7971771857858318e+01    4.1907892816636129e-04
    2     9    3.3369250548267409e+01    6.8554013676729855e-04
    2    10    6.1694964968942877e+01    1.1347600635910936e-03
    2    11    1.1378298983397949e+02    1.8968299477447378e-03
    2    12    2.0955608899705865e+02    3.1970471077959021e-03
    2    13    3.8566567561960539e+02    5.4270009259574023e-03
    2    14    7.0956838052206058e+02    9.2695905640104298e-03
    2    15    1.3054738453792888e+03    1.5919418370849113e-02
    2    16    2.4021963483695804e+03    2.7472191535086565e-02
    2    17    4.4214382979623406e+03    4.7614177997763629e-02
    2    18    8.1407357549411918e+03    8.2845320838555669e-02
    2    19    1.4994328422784385e+04    1.4465307344670070e-01
    2    20    2.7628913216370594e+04    2.5338262786924914e-01
    2    21    5.0930586707185372e+04    4.4513855750999376e-01
    2    22    9.3923141696570601e+04    7.8411113385898190e-01
    2    23    1.7327825205707419e+05    1.3846229184927967e+00
    2    24    3.1980836108278600e+05    2.4506146743738748e+00
    2    25    5.9048053140968282e+05    4.3464567946010746e+00
    2    26    1.0906524785113826e+06    7.7240931609562331e+00
    2    27    2.0152404085123858e+06    1.3751596179615873e+01
    2    28    3.7249584106885344e+06    2.4524471894597390e+01
    2    29    6.8875451117260261e+06    4.3806614713260217e+01
    2    30    1.2739440499130072e+07    7.8366445905529531e+01
    2    31    2.3570762630693737e+07    1.4038861217912330e+02
    2    32    4.3624348517144524e+07    2.5183098204755470e+02
    2    33    8.0762759635471418e+07    4.5230283004473904e+02
    2    34    1.4955992935397485e+08    8.1332167178709892e+02
    2    35    2.7703617966768873e+08    1.4641336385384514e+03
    2    36    5.1329886415430647e+08    2.6385117372276632e+03
    2    37    9.5128869457474947e+08    4.7596369241362954e+03
    2    38    1.7634308389937558e+09    8.5941592343932480e+03
    2    39    3.2696753455514727e+09    1.5532008390086237e+04
    2    40    6.0638321244793692e+09    2.8094919253465974e+04
    2    41    1.1248185103891966e+10    5.0861189260591789e+04
    2    42    2.0869261181525913e+10    9.2148350088715451e+04
    2    43    3.8727349994186874e+10    1.6707666644327948e+05
    2    44    7.1880564988620941e+10    3.0314964373655996e+05
    2    45    1.3343975552447998e+11    5.5042491320195270e+05
    2    46    2.4776288360522552e+11    1.0000608469017255e+06
    2    47    4.6011018149423022e+11    1.8181529215214818e+06
    2    48    8.5459330801569934e+11    3.3074938880737955e+06
    2    49    1.5875476114881023e+12    6.0203537631304730e+06
    2    50    2.9495879464039355e+12    1.0964518040871376e+07
    2    51    5.4810158738678555e+12    1.9979860808293238e+07
    2    52    1.0186471844013240e+13    3.6426887094592430e+07
    2    53    1.8934224971458125e+13    6.6446197801778458e+07
    2    54    3.5199004170720156e+13    1.2126316694365412e+08
    2    55    6.5444098724297219e+13    2.2140682524608955e+08
    2    56    1.2169314823720770e+14    4.0443565891562915e+08
    2    57    2.2631618312915941e+14    7.3909042698862410e+08
    2    58    4.2093723136846706e+14    1.3512294761810222e+09
    2    59    7.8301446305004700e+14    2.4713715576858582e+09
    2    60    1.4567045356453080e+15    4.5218762337099428e+09
    2    61    2.7103226716606030e+15    8.2768589786923056e+09
    2    62    5.0433256368998290e+15    1.5155613297200590e+10
    2    63    9.3855173132337540e+15    2.7761159859943958e+10
    2    64    1.7468007461696132e+16    5.0868989492744102e+10
    2    65    3.2514065601207844e+16    9.3242845233943222e+10
    2    66    6.0525835750927552e+16    1.7097023811084741e+11
    2    67    1.1268103266795514e+17    3.1359128504923950e+11
    2    68    2.0979749001129987e+17    5.7536305876643457e+11
    2    69    3.9065031968915910e+17    1.0559678714007972e+12
    2    70    7.2746738142167283e+17    1.9385926027172959e+12
    2    71    1.3548005545416538e+18    3.5599675457683208e+12
    2    72    2.5233227079424568e+18    6.5392182500952412e+12
    2    73    4.7000766279788780e+18    1.2014971095989014e+13
    2    74    8.7552983013802291e+18    2.2081758551815488e+13
    2    75    1.6310602626513410e+19    4.0593421263658734e+13
    2    76    3.0387944918547853e+19    7.4642449713213156e+13
    2    77    5.6619255947727651e+19    1.3728453191025566e+14
    2    78    1.0550128652736610e+20    2.5255745478986978e+14
    2    79    1.9659905016997200e+20    4.6472828244435156e+14
    2    80    3.6638227256646343e+20    8.5533432058582750e+14
    2    81    6.8283567718556933e+20    1.5745926594638473e+15
    2    82    1.2726999638474752e+21    2.8993043321116635e+15
    2    83    2.3722656229898899e+21    5.3396212616326650e+15
    2    84    4.4220887675707652e+21    9.8359441851624280e+15
    2    85    8.2436182908967594e+21    1.8122101917612232e+16
    2    86    1.5368589400716188e+22    3.3395351584654848e+16
    2    87    2.8653343959515444e+22    6.1552614445392648e+16
    2    88    5.3424598037010741e+22    1.1347186130302349e+17
    2    89    9.9616515694768006e+22    2.0922292120746682e+17
    2    90    1.8575694928961715e+23    3.8584069276950278e+17
    2    91    3.4640324452382542e+23    7.1167680568308173e+17
    2    92    6.4601339736797348e+23    1.3129010511461233e+18
    2    93    1.2048232471601549e+24    2.4224455089448494e+18
    2    94    2.2471235652353389e+24    4.4704100262876114e+18
    2    95    4.1913308595841573e+24    8.2510753399839672e+18
    2    96    7.8180401660943658e+24    1.5231482485439011e+19
    2    97    1.4583588759567293e+25    2.8121653066597343e+19
    2    98    2.7205147815502889e+25    5.1928433938922742e+19
    2    99    5.0752514010633645e+25    9.5903402038462054e+19
    3     0   -5.3705241621572342e-08    5.3703651496645884e-08
    3     1    5.2964855764814529e-03    4.8448653333485425e-06
    3     2    4.5586629710086028e-02    1.0918975948059002e-05
    3     3    1.7340520342778770e-01    1.9801463940799239e-05
    3     4    4.8383557503649638e-01    3.3878037699785347e-05
    3     5    1.1574854694826624e+00    5.7045453371018733e-05
    3     6    2.5392176236386335e+00    9.5884405676680635e-05
    3     7    5.2848649981810594e+00    1.6167308943597575e-04
    3     8    1.0635521301861946e+01    2.7388788003489500e-04
    3     9    2.0930172271331081e+01    4.6632647955990175e-04
    3    10    4.0562773829976813e+01    7.9785772786602300e-04
    3    11    7.7767267219027019e+01    1.3713465354864484e-03
    3    12    1.4794386115316681e+02    2.3670502164985716e-03
    3    13    2.7985305326424486e+02    4.1016788500196424e-03
    3    14    5.2714342370221391e+02    7.1330497978300406e-03
    3    15    9.8979690827633397e+02    1.2445880535862215e-02
    3    16    1.8540102638612470e+03    2.1782204168954447e-02
    3    17    3.4663430013512439e+03    3.8229953411327428e-02
    3    18    6.4715472429186548e+03    6.7273065358138123e-02
    3    19    1.2068736774387507e+04    1.1866775347772329e-01
    3    20    2.2487453701252627e+04    2.0979960153953048e-01
    3    21    4.1872339699215423e+04    3.7169812278473913e-01
    3    22    7.7927059807357422e+04    6.5982590653418671e-01
    3    23    1.4496906458067155e+05    1.1734555867327812e+00
    3    24    2.6960604996883869e+05    2.0905095412993893e+00
    3    25    5.0128442018744338e+05    3.7302687539507993e+00
    3    26    9.3189208044133487e+05    6.6663594640380133e+00
    3    27    1.7321892251133111e+06    1.1930526923103450e+01
    3    28    3.2195170973407603e+06    2.1380487162732180e+01
    3    29    5.9836470313462326e+06    3.8364561270441556e+01
    3    30    1.1120710619807992e+07    6.8923554746872270e+01
    3    31    2.0668066052780874e+07    1.2396591793264031e+02
    3    32    3.8412761132802129e+07    2.2320740819888977e+02
    3    33    7.1394677072402120e+07    4.0231193893585873e+02
    3    34    1.3270150274973285e+08    7.2584399066291689e+02
    3    35    2.4666621267075950e+08    1.3107784040314543e+03
    3    36    4.5853303828420419e+08    2.3692008468618883e+03
    3    37    8.5243527065106404e+08    4.2859130397741992e+03
    3    38    1.5848352466317930e+09    7.7595608027723811e+03
    3    39    2.9467305855742140e+09    1.4059430965765911e+04
    3    40    5.4793826048875132e+09    2.5492982967231124e+04
    3    41    1.0189636195030951e+10    4.6257512206405168e+04
    3    42    1.8950570591563686e+10    8.3992366697927937e+04
    3    43    3.5247063945938774e+10    1.5260940113359617e+05
    3    44    6.5563320712693123e+10    2.7745680387843959e+05
    3    45    1.2196533673957919e+11    5.0474432454417710e+05
    3    46    2.2690778153664450e+11    9.1875441792759113e+05
    3    47    4.2218204314474420e+11    1.6732848716056796e+06
    3    48    7.8557442357220471e+11    3.0491150636436571e+06
    3    49    1.4618804656776150e+12    5.5590777370139351e+06
    3    50    2.7206521406596523e+12    1.0140249817656556e+07
    3    51    5.0637286390136641e+12    1.8505632059965402e+07
    3    52    9.4254842009078262e+12    3.3787910120696276e+07
    3    53    1.7545764900713506e+13    6.1718308927813940e+07
    3    54    3.2664488193880641e+13    1.1278607108229595e+08
    3    55    6.0815436786722836e+13    2.0619564170096183e+08
    3    56    1.1323631086246128e+14    3.7712051335737258e+08
    3    57    2.1085843556080269e+14    6.9000441717861795e+08
    3    58    3.9267124829466344e+14    1.2629590392952340e+09
    3    59    7.3130668717342800e+14    2.3125292093264885e+09
    3    60    1.3620773334606465e+15    4.2358529342826324e+09
    3    61    2.5370862218969725e+15    7.7614978357859621e+09
    3    62    4.7260617226232580e+15    1.4226457491215590e+10
    3    63    8.8042773999856610e+15    2.6084967350160496e+10
    3    64    1.6402788322668280e+16    4.7843400376438843e+10
    3    65    3.0561224507619788e+16    8.7778485563411072e+10
    3    66    5.6944582087250600e+16    1.6109597315781046e+11
    3    67    1.0611142409329197e+17    2.9573876010743262e+11
    3    68    1.9774223768210275e+17    5.4306939009636340e+11
    3    69    3.6852233609099002e+17    9.9752228098837036e+11
    3    70    6.8683871403066803e+17    1.8327655343746619e+12
    3    71    1.2801822917348280e+18    3.3682566943833638e+12
    3    72    2.3862420241899679e+18    6.1917652724044551e+12
    3    73    4.4481797167533967e+18    1.1384972609554438e+13
    3    74    8.2922973580427336e+18    2.0938953841271543e+13
    3    75    1.5459365652355985e+19    3.8519517005363969e+13
    3    76    2.8822542942141247e+19    7.0877277412712656e+13
